Date,Density,PlotID,Location,Stand,NewAY,CumAY,Incidence
2018-08-21,High,H-306,Interior,530,0,1,0.001886792
2018-08-21,High,H-312,Interior,382,0,0,0
2018-08-21,High,H-405,Interior,503,0,0,0
2018-08-21,High,H-411,Interior,434,2,2,0.004608295
2018-08-21,High,H-502,Edge,472,1,2,0.004237288
2018-08-21,High,H-509,Edge,605,0,0,0
2018-08-21,Low,L-108,Edge,268,0,2,0.007462687
2018-08-21,Low,L-111,Edge,127,2,3,0.023622047
2018-08-21,Low,L-202,Interior,189,0,0,0
2018-08-21,Low,L-215,Interior,230,0,1,0.004347826
2018-08-21,Low,L-305,Interior,161,1,2,0.01242236
2018-08-21,Low,L-315,Interior,217,0,0,0
2018-08-21,Low,L-406,Interior,238,5,6,0.025210084
2018-08-21,Low,L-417,Interior,195,1,2,0.01025641
2018-08-21,Low,L-503,Edge,178,0,2,0.011235955
2018-08-21,Low,L-511,Edge,235,1,1,0.004255319
2018-09-06,High,H-102,Edge,427,0,2,0.004683841
2018-09-06,High,H-115,Edge,446,0,4,0.00896861
2018-09-06,High,H-207,Interior,486,0,1,0.002057613
2018-09-06,High,H-217,Interior,497,0,0,0
2018-09-06,High,H-306,Interior,538,0,1,0.001858736
2018-09-06,High,H-312,Interior,382,0,0,0
2018-09-06,High,H-405,Interior,574,0,0,0
2018-09-06,High,H-411,Interior,434,0,2,0.004608295
2018-09-06,High,H-502,Edge,506,0,2,0.003952569
2018-09-06,High,H-509,Edge,622,0,0,0
2018-09-06,Low,L-108,Edge,248,0,2,0.008064516
2018-09-06,Low,L-111,Edge,122,1,4,0.032786885
2018-09-06,Low,L-202,Interior,186,0,0,0
2018-09-06,Low,L-215,Interior,228,0,1,0.004385965
2018-09-06,Low,L-305,Interior,155,0,2,0.012903226
2018-09-06,Low,L-315,Interior,216,0,0,0
2018-09-06,Low,L-406,Interior,248,0,6,0.024193548
2018-09-06,Low,L-417,Interior,194,0,2,0.010309278
2018-09-06,Low,L-503,Edge,215,1,3,0.013953488
2018-09-06,Low,L-511,Edge,225,0,1,0.004444444
2018-09-18,High,H-102,Edge,413,0,2,0.004842615
2018-09-18,High,H-115,Edge,407,2,6,0.014742015
2018-09-18,High,H-207,Interior,493,3,4,0.00811359
2018-09-18,High,H-217,Interior,455,0,0,0
2018-09-18,High,H-306,Interior,529,0,1,0.001890359
2018-09-18,High,H-312,Interior,357,2,2,0.005602241
2018-09-18,High,H-405,Interior,548,0,0,0
2018-09-18,High,H-411,Interior,394,0,2,0.005076142
2018-09-18,High,H-502,Edge,487,3,5,0.01026694
2018-09-18,High,H-509,Edge,607,1,1,0.001647446
2018-09-18,Low,L-108,Edge,235,0,2,0.008510638
2018-09-18,Low,L-111,Edge,117,1,5,0.042735043
2018-09-18,Low,L-202,Interior,179,0,0,0
2018-09-18,Low,L-215,Interior,216,3,4,0.018518519
2018-09-18,Low,L-305,Interior,166,0,2,0.012048193
2018-09-18,Low,L-315,Interior,200,2,2,0.01
2018-09-18,Low,L-406,Interior,240,1,7,0.029166667
2018-09-18,Low,L-417,Interior,181,3,5,0.027624309
2018-09-18,Low,L-503,Edge,202,3,6,0.02970297
2018-09-18,Low,L-511,Edge,216,0,1,0.00462963
2018-10-02,High,H-102,Edge,400,10,12,0.03
2018-10-02,High,H-115,Edge,385,13,19,0.049350649
2018-10-02,High,H-207,Interior,492,9,13,0.026422764
2018-10-02,High,H-217,Interior,431,3,3,0.006960557
2018-10-02,High,H-306,Interior,538,12,13,0.024163569
2018-10-02,High,H-312,Interior,368,6,8,0.02173913
2018-10-02,High,H-405,Interior,569,5,5,0.008787346
2018-10-02,High,H-411,Interior,425,13,15,0.035294118
2018-10-02,High,H-502,Edge,489,8,13,0.026584867
2018-10-02,High,H-509,Edge,612,7,8,0.013071895
2018-10-02,Low,L-108,Edge,232,17,19,0.081896552
2018-10-02,Low,L-111,Edge,115,14,19,0.165217391
2018-10-02,Low,L-202,Interior,176,10,10,0.056818182
2018-10-02,Low,L-215,Interior,214,8,12,0.056074766
2018-10-02,Low,L-305,Interior,151,7,9,0.059602649
2018-10-02,Low,L-315,Interior,198,3,5,0.025252525
2018-10-02,Low,L-406,Interior,233,6,13,0.055793991
2018-10-02,Low,L-417,Interior,170,6,11,0.064705882
2018-10-02,Low,L-503,Edge,203,6,12,0.0591133
2018-10-02,Low,L-511,Edge,217,3,4,0.01843318
2018-10-16,High,H-102,Edge,354,3,15,0.042372881
2018-10-16,High,H-115,Edge,355,6,25,0.070422535
2018-10-16,High,H-207,Interior,457,11,24,0.052516411
2018-10-16,High,H-217,Interior,412,7,10,0.024271845
2018-10-16,High,H-306,Interior,494,10,23,0.046558704
2018-10-16,High,H-312,Interior,363,6,14,0.038567493
2018-10-16,High,H-405,Interior,526,6,11,0.020912548
2018-10-16,High,H-411,Interior,414,15,30,0.072463768
2018-10-16,High,H-502,Edge,467,4,17,0.03640257
2018-10-16,High,H-509,Edge,611,10,18,0.029459902
2018-10-16,Low,L-108,Edge,227,6,25,0.110132159
2018-10-16,Low,L-111,Edge,110,2,21,0.190909091
2018-10-16,Low,L-202,Interior,168,2,12,0.071428571
2018-10-16,Low,L-215,Interior,203,9,21,0.103448276
2018-10-16,Low,L-305,Interior,145,5,14,0.096551724
2018-10-16,Low,L-315,Interior,195,4,9,0.046153846
2018-10-16,Low,L-406,Interior,221,3,16,0.07239819
2018-10-16,Low,L-417,Interior,169,6,17,0.100591716
2018-10-16,Low,L-503,Edge,194,5,17,0.087628866
2018-10-16,Low,L-511,Edge,218,7,11,0.050458716
